userName,userImage,score,date,text
"D M",https://play-lh.googleusercontent.com/a/AGNmyxaOSxEmgwFG6gjyFu_3pVtuz7g7ZKwuKh1hlTHn=mo,5,2023-03-12T12:50:11.482Z,"fyacteyotCu3uut 87hj7 uhohnjjjyv89tb"
"William Snyder",https://play-lh.googleusercontent.com/a/AGNmyxa1sL0aAZygb6c09JF68htUTw0oNlImybsOgGIZ=mo,5,2023-03-11T21:45:15.499Z,"I just started this game and it is awesome and amazing"
"Hammad Ashraf",https://play-lh.googleusercontent.com/a/AGNmyxbrF1rf74D_yLLwQajTcWfz5G2OXXbPwZ1Xth8i=mo,5,2023-03-11T08:53:28.682Z,"Interesting game"
"Sanchita Datta Chowdhury",https://play-lh.googleusercontent.com/a-/ACB-R5TUBmmiB48NvCFU8upCqrIEgjnPIs4DOBdJ-oaI7w,5,2023-03-10T05:41:13.927Z,"3D game 1000/100"
"Emilia Maria Cooter Gonzalez",https://play-lh.googleusercontent.com/a/AGNmyxbIRvnRoZ0PkP5FBP_pQcC-BE4FAtWXLlMVrluI=mo,1,2023-03-06T20:31:32.906Z,"Too many ads and long ads!!!horrible game for kids, only ads"
"Rinki Soni",https://play-lh.googleusercontent.com/a-/ACB-R5Q_yP6pcT6EF2zqQGkVTJ_AnPORn77nxZOqjCTd,5,2023-03-06T09:50:00.870Z,"Best game"
"Sheila Findall",https://play-lh.googleusercontent.com/a/AGNmyxb1k_fzLL8ZhYKpUru67b3xLqg-WVF0kwZiWTcy=mo,5,2023-03-06T03:29:11.784Z,"it's just really fun I can't stop playing"
"logan jp plays",https://play-lh.googleusercontent.com/a-/ACB-R5RobiwC1hAhXbqY2czYIbcXMlPCGRUyunbFWiWi,4,2023-03-05T20:51:57.491Z,"Its alright alot of ads though i also think they should make it so you can look at ur figure after you've done them and go through ur intire collection"
"Sophia Grace & Nichole Star",https://play-lh.googleusercontent.com/a-/ACB-R5RTROS-pqZPeqg-8mZq0-NS-6mCR5IWOfCKl5h3QQ,5,2023-02-27T22:24:45.316Z,"I like the game it's like getting a kinder egg from the store!!!!"
"athirah putri",https://play-lh.googleusercontent.com/a-/ACB-R5Qpszo0-tfwr78249WRawPt0FeT1PlqPgvPZeAsLw,5,2023-02-27T11:22:03.651Z,"I love this game"
"Luis Bello",https://play-lh.googleusercontent.com/a/AGNmyxZan0BsvGWAOVdRlEgzZVU8OGfN-kB3uH4h32bf=mo,1,2023-02-27T01:27:43.690Z,"Sooooooooooooo laggy"
"Judy Wann",https://play-lh.googleusercontent.com/a/AGNmyxbzEWEPa_eNZjmYFBPT6a1Y0_4MrNx8fIP3SUab=mo,5,2023-02-26T23:10:06.720Z,"it is great 👍"
"Timbre Coster",https://play-lh.googleusercontent.com/a/AGNmyxZhL9XLm5KeW1SZtE7snfnDqcjiBiHYH0OORlXm=mo,5,2023-02-26T18:27:14.506Z,"I think this game is so relaxing."
"Masiha Masoumi",https://play-lh.googleusercontent.com/a/AGNmyxaMeyjtpW15L6Y4C_nqAgRP0wxsvs5IcexhyQ1p=mo,5,2023-02-25T05:54:49.946Z,"good"
"dania atem",https://play-lh.googleusercontent.com/a-/ACB-R5QNWxBcpBpEetxygEzwR0BXk8ZNFV6CuR1xUHfU8A,3,2023-02-24T16:19:34.367Z,"٦لنخخنال"
"Chew Mun sung",https://play-lh.googleusercontent.com/a/AGNmyxYYvz3vjlyt-BmmzEifQ0-5Gzny8Fw9wg_JLg8-=mo,5,2023-02-22T16:49:42.378Z,"I love squirrel"
"Marisol Farguharson",https://play-lh.googleusercontent.com/a/AGNmyxZglFIfvk3xaNm2XiJeLzm8x4kqQWNBTGNFm8rK=mo,5,2023-02-21T19:10:55.199Z,"Describing I know this but I wanted to say I love toys I love chocolate so I like I like that they added chocolate eggs and when they open the chocolate they have super super toys I love toys that I think I have 100000 toys Because it's almost like that much like Like 50 toys like I have more toys than 50 or 100"
"Deion Savage",https://play-lh.googleusercontent.com/a/AGNmyxZ9cUrr6TkLoHlGofCIIAO2nKqAXh50Kqg4oQ22=mo,5,2023-02-21T16:41:36.941Z,"I like this gameis super duperfun"
"Promad Kumar Singh",https://play-lh.googleusercontent.com/a/AGNmyxayzakBPQPCP7q6CWK7GnMNKUw98IkxdInAEAJm=mo,5,2023-02-21T07:15:56.968Z,"☃️🦣🐴🦣👻🏞️🦣😁😁😁😁😁😁😁😁😁😘😁 Chahie 1 bahut achcha tha to tohara chalna chahie"
"Suresh Suresh",https://play-lh.googleusercontent.com/a/AGNmyxZFhch8X5hp19WqnH7OvcD8fdYvORAo0BQcWm3-=mo,5,2023-02-19T14:53:15.589Z,"Toys are very super"
"Hayleymarie Durose",https://play-lh.googleusercontent.com/a-/ACB-R5QVMFwU8lAjeODx0xuB699HLoVwRMGVBoZIE2SSiQ,1,2023-02-19T02:00:19.910Z,"My 5 year old boy downloaded this game to play and within the first 5 minutes of the game there was 15 adds like i get you have to make money somehow but thats like 1 add every 15 seconds or so which takes away from the game play especially for a child"
"Seedra Awaysa",https://play-lh.googleusercontent.com/a/AGNmyxapRfQF6lEU1Kn_Bteq02OuZgMat8xKt7AUIOla=mo,5,2023-02-17T19:06:32.671Z,"ABTcw bso89!860!"
"Biren Kalita",https://play-lh.googleusercontent.com/a/AGNmyxbxTqDh8lFC9dPHnlxUu6CRrTRPRXz9NFoxnESl=mo,1,2023-02-17T15:07:39.740Z,"jj"
"Riley Leiphart",https://play-lh.googleusercontent.com/a/AGNmyxY6lkX488T0uEjT34FpZBkmIhtsmsuyl3GHh4Nc=mo,5,2023-02-15T22:41:52.706Z,"Nh vehng nbtb hn hv. Febfehiv hvfivevfbufvfv the pupet the pupet the pupet the pupet the yummy and I will be there in a few minutes to talk to you about it when we do the same for you about the pupet you spell morning the same for you and I can do you have a time for a call from the return is still a few"
"Becky Holmes",https://play-lh.googleusercontent.com/a-/ACB-R5RmNelMYHpV8gu3uByiax6Kt2k1wu4a0AAW6qHC,5,2023-02-14T20:31:45.731Z,"If you get ads just turn ur WiFi off"
"Kristen Haynes",https://play-lh.googleusercontent.com/a/AGNmyxZwzBF3hyE0GkeLuiDpB7w4cKU92GEqjZ7op5RU=mo,5,2023-02-13T12:01:32.700Z,"🤑😍"
"Joan Molloy",https://play-lh.googleusercontent.com/a/AGNmyxacO_ph4l-OXTsAItSHsLihuE658NsYNVKZN6hO=mo,5,2023-02-12T19:24:04.973Z,"I think It's cool doing I think it's cool"
"Krystal",https://play-lh.googleusercontent.com/a-/ACB-R5SFX-gxQuBgyczjtoctUjOlQRmO1lBysvW6kzMiuSA,5,2023-02-11T04:49:20.844Z,"i love this"
