userName,userImage,score,date,text
"Nohin Tafsir Rafi",https://play-lh.googleusercontent.com/a-/ACB-R5QEheXYaZj9k-28G5-e6EliKgUkxSy6nU8-J43gPw,1,2023-04-07T10:47:12.607Z,"False speed test"
"Bharath Kumar",https://play-lh.googleusercontent.com/a-/ACB-R5SllPT_IKKfiCqzSlpO5hklayV0h1LqD1El7dT8Yw,1,2023-04-07T08:59:16.176Z,"Too much data used"
"S J",https://play-lh.googleusercontent.com/a-/ACB-R5Q5np7gOb7_hoD77w2DnjskI9e3WLEPY-BlMp7V-Ls,1,2023-04-07T00:23:51.770Z,"According to DuckDuckGo's App Tracking Protection, this app sells your tracking data- including your GPS coordinates - to ComScore, Verizon Media, Amazon, and Google."
"Keith Arthurs",https://play-lh.googleusercontent.com/a-/ACB-R5T0VmxnliXf1zHlPcPKunh6T__4fmKle7dLfxcZow,1,2023-04-07T00:20:51.287Z,"Malware, uses all your data without ever using it. I have 5 gig limit before data slows. This app used over 3 gig without ever opening it. My data became used up and I had to buy more high speed access. DO NOT INSTALL, it is a malfunctioning detrimental app!!"
"Jessica Lynn Eberhart",https://play-lh.googleusercontent.com/a-/ACB-R5TWjxvK10ZuzWH4v_0XXGBGZ_rjni0Scs-LQujbZA,5,2023-04-06T23:38:03.201Z,"Love this app. I use it all the time to help me get better service."
"Александр Семенихин",https://play-lh.googleusercontent.com/a/AGNmyxZq0aQpsGH2-2c6MqMap4HgUqsox03skhCYj8UC=mo,5,2023-04-06T21:01:50.949Z,"Хорошее, поудобное приложение"
"Akshay Salunke",https://play-lh.googleusercontent.com/a-/ACB-R5Qq9A-P5fBD-sKn7EZcEfHRB8CuesTk48YQ_FmXrQ,4,2023-04-06T16:19:05.867Z,"Jio regularly need this app"
"Aarush Singh is here",https://play-lh.googleusercontent.com/a-/ACB-R5R8xYdVLZDzpsY4pr4dr2M51iffsIFGe8VmSyTPaw,5,2023-04-06T15:19:11.910Z,"Very nice 👍👍🙂 app"
"Ashwin Dabhi",https://play-lh.googleusercontent.com/a-/ACB-R5RThdo86GMJxqjBigNkgC192181egSoeC4kIyELgg,5,2023-04-06T13:43:28.986Z,"Good Speed test app"
"Jared Human",https://play-lh.googleusercontent.com/a-/ACB-R5TSwS4boG8xG1hyIIrPtdF0uGs2mOJSpVFGTCrk,3,2023-04-06T10:13:43.673Z,"On my smartphone, it is not as reliable, however the web version works perfectly."
"MM ZZ",https://play-lh.googleusercontent.com/a-/ACB-R5QTi0h7VUwBdN2Z_r_7kXr3KMniUzyIJn3owaHH,5,2023-04-05T21:46:48.436Z,"Very nice app love him thankyou"
"shyamal kumar",https://play-lh.googleusercontent.com/a-/ACB-R5Q1EzeAtPkjhKYe1YNnLymTZANhgtFrkiGk79YWVg,5,2023-04-05T20:57:19.425Z,"Very useful to check our Ran/Lan/Wan"
"Ashraf Ezzat",https://play-lh.googleusercontent.com/a/AGNmyxb6mBOkGicJ-AvQEjFboSkcYF4CyuLbtkhB84Ba=mo,4,2023-04-05T18:58:44.627Z,"Tt is a good 👍 👌 😌 application me and my daughter love it 😀 ❤️."
"Maciej Witkowski",https://play-lh.googleusercontent.com/a-/ACB-R5TOt96u27QsBBsfNPS_GQ970aweK9z5lpZlw5oS,2,2023-04-05T17:21:13.167Z,"Useful but it drains my battery - tracking by Google and tomScore. DuckDuckGo tracking protection screams when seeing this app."
"Nilambar Dehury",https://play-lh.googleusercontent.com/a/AGNmyxZtBOAG6jwXVuWz8FX5KVc-b1CGfsoHog_moowX=mo,3,2023-04-05T14:58:33.922Z,"Its good for check net work"
"Hot spot Tpg",https://play-lh.googleusercontent.com/a/AGNmyxYyIKu10Y11Nxx_tcM6peYvOlDgykHCMN9vnzuz=mo,1,2023-04-05T14:04:16.228Z,"Want to vomit blood ."
"jaspreet singh Maan",https://play-lh.googleusercontent.com/a-/ACB-R5Srgg-tusFdaK-uGpNJbxuTplnXsI7CYkQH-lg,5,2023-04-05T06:08:00.860Z,"Yes ok"
"Melon Star",https://play-lh.googleusercontent.com/a/AGNmyxao1Ze_i36clg4M_8Ajq4eCL-qu5AuCE3ObNv92=mo,1,2023-04-05T04:36:43.281Z,"This app drag battery."
"Ichram Riyadi",https://play-lh.googleusercontent.com/a-/ACB-R5RHpRkOfLBuY2uQDZUnTdxKS5N6hwuqnD-KrJfkKQ,5,2023-04-04T22:48:33.117Z,"Alhamdulillah......"
"Julian W.",https://play-lh.googleusercontent.com/a-/ACB-R5Te3eo3aovqq9ObW2fNGgDpJ6bwn5YConuxUIDbLQ,1,2023-04-04T19:21:05.704Z,"Tracking heavily"
"kevat shubh",https://play-lh.googleusercontent.com/a-/ACB-R5RTIuuazjCEHzSYJj1gWBX5prl9sZKwMuUu3Wj2am0,1,2023-04-04T17:58:57.515Z,"No good"
"N Mercedes Villa",https://play-lh.googleusercontent.com/a-/ACB-R5TqKxHxBmZMh1nmQM8yjws5NCaLZ_5SU-gqVaDrSMM,5,2023-04-04T17:46:16.701Z,"Thank you and THANKS 😊"
"Chris Taylor",https://play-lh.googleusercontent.com/a-/ACB-R5Q5TlQoKYtbnXacMBHOmXFJiTW2BTWgXjP6wyCwMw,5,2023-04-04T16:07:17.909Z,"Nice design, useful features, seems reliable."
"Abiyot Dilbeto",https://play-lh.googleusercontent.com/a-/ACB-R5TpchfDdmR-uJ_Vtxr1q-OWSjafonHOEhX_uWD3Fg,5,2023-04-04T16:03:40.749Z,"Interesting application"
"Avinash Patil",https://play-lh.googleusercontent.com/a-/ACB-R5QGuLu8_ssO7f1gDtKDf0g1CLolHZaO3_M-RY1FvQ,2,2023-04-04T15:13:33.344Z,"not working"
"Mr22 Gamer",https://play-lh.googleusercontent.com/a-/ACB-R5Q-uO-Gu1nTW5bX5lNEZJ4MTGJiqhpC_wNWFbFH,5,2023-04-04T14:37:29.490Z,"Good app"
"KY Huang",https://play-lh.googleusercontent.com/a-/ACB-R5TMlRlj-S3FiRzD_CStpKnrwj89AuOfiyg5BF7b,5,2023-04-04T13:02:47.806Z,"Excellent app ,we got completely information how fast the connectionof the internet andthe provider name also.i love it."
"Ryan Wolf",https://play-lh.googleusercontent.com/a-/ACB-R5TSvJ5VlsR9_EtTiF8JX00QRKcvvrI5FqCOdu813g,1,2023-04-04T12:00:50.221Z,"App becomes unresponsive once the ads display, flickering the display and ignoring any screen touch."
"matthijs Z",https://play-lh.googleusercontent.com/a/AGNmyxZZRv-hc2ERYUt2bLOyFAdmsAX7FdAWe8WjiOSz=mo,1,2023-04-04T08:25:36.912Z,"Ookla, what happened?! This used to be a great tool, now it's just become spyware. You really do not need full-time high-precision location access to measure my internet speed... Really unfortunate."
"Ben Wilson",https://play-lh.googleusercontent.com/a-/ACB-R5R35h5FNdGSF7u_ScDgJjOqXEuBLy7WubTFtF0ZSQ,2,2023-04-04T06:18:13.800Z,"13ms in the app and 20ms in the browser, within 1 min of each other"
"Abhijit Das",https://play-lh.googleusercontent.com/a-/ACB-R5QWlQdWj6dWPv_9VC-0Lg9WdCgmt-g5wo_pm5oTIA,1,2023-04-04T06:06:00.144Z,"✴️"
"BAG999 PLASS",https://play-lh.googleusercontent.com/a/AGNmyxZdEi8o8Zx6n-o_QwlaMNKwsvF-VNlmgMFsQr8-=mo,5,2023-04-04T04:23:15.674Z,"Good"
"Varun Patki",https://play-lh.googleusercontent.com/a-/ACB-R5QZOPhG-ZwFnbgFZ7BcbKARFcdp76Ku56gdYI2dDw,1,2023-04-04T03:54:14.440Z,"Not working for me after latest update...it Tells me , check your data connection and try again, whereas I'm getting speeds upto 950 Mbps on jio 5g on ""fast"" internet speed test app"
"Sibananda Pujari",https://play-lh.googleusercontent.com/a-/ACB-R5TKlPnn5h7-qDa1lIqjqfmBaPHQJUWqfQZLO1FW,3,2023-04-03T19:33:43.625Z,"Nice app"
"Habib hasrat",https://play-lh.googleusercontent.com/a-/ACB-R5QfP6k5sbyLq-vDVVj70Wi53kvh7NNBNkrzBRvwQw,5,2023-04-03T19:33:20.913Z,"please my Internet speed very slow. please fast then"
"Dipanshu Parjpati",https://play-lh.googleusercontent.com/a-/ACB-R5R_4Bv7otBlXyIDktSGJagg2QymvDovQuwF-ZeG,1,2023-04-03T14:09:40.470Z,"It's vpn is not best"
"Amado Clavite",https://play-lh.googleusercontent.com/a-/ACB-R5Qc_dNnv6CKzYCddRhWrIkdgxzNQl43FSSsk4uH,4,2023-04-03T05:39:21.620Z,"Good apps"
"chauhan banti",https://play-lh.googleusercontent.com/a/AGNmyxbTi9wzf_O2hVOAPvG78M8cgchOMraYVuQlNpM=mo,5,2023-04-03T04:21:21.485Z,"Op VPN"
"Nacnud Srewob",https://play-lh.googleusercontent.com/a/AGNmyxbaWz1dr9-RPMrkeihvy1lzCDMIRm65YJW4DnfN=mo,1,2023-04-02T23:37:04.540Z,"Found no Login option, so uninstalled app"
"M G",https://play-lh.googleusercontent.com/a-/ACB-R5QXu8MOYad5QUftazQUQGa5nvXi84Zgi1B5Ie39lg,5,2023-04-02T19:56:37.668Z,"👍"
"SEA Diary",https://play-lh.googleusercontent.com/a-/ACB-R5QYf_0rR7etIlNUdx8E0W0WOXz_ZZ3j3IRaNxQqAQ,5,2023-04-02T17:24:10.342Z,"Good App easy to use"
"Egy Boy Gulinsao",https://play-lh.googleusercontent.com/a-/ACB-R5S9_3cthi_cZjLUlEbuJbq1HLiX5OUJ6GHqbw4Lgw,5,2023-04-02T14:17:42.676Z,"Very nice"
"andy d raybeem",https://play-lh.googleusercontent.com/a-/ACB-R5T5ytYJUmoy7KQxnM9mpVQxFYgyyWCmqBoyRDo,3,2023-04-02T11:27:05.661Z,"You need to update the throttle on these things. I'm currently getting over 450 Mps, and your gauge doesn't read that number apparently. So it should be able to gauge up to a Gig per second I'd say."
"Ali jan",https://play-lh.googleusercontent.com/a-/ACB-R5SafeHHdccsOKrHX3tx-zfm7xMuQnK2GvIwRPac,5,2023-04-02T03:22:12.494Z,"Good app Boaht achi app hai"
"Jayarr Reyes",https://play-lh.googleusercontent.com/a/AGNmyxYPf5ZhnSpAsZtUXtt5B2AwbfvbzjLpzk5vKHaa=mo,5,2023-04-02T02:57:56.767Z,"Nice apps"
"john ly",https://play-lh.googleusercontent.com/a/AGNmyxYxh_eb2XTIezwFr2sVrWugYo19We85ieVMw-W4=mo,1,2023-04-01T21:10:31.396Z,"9899Akmmm mkjkkmjm like 777 mill lu Uu on 98kj k m t Iul mimi 7th 7th ooo99999"
"Kats Bblak",https://play-lh.googleusercontent.com/a-/ACB-R5Rf6SynFoQ2-Qa6XZWnWGiI_K4mRo8iysgQJQNt,5,2023-04-01T16:00:04.993Z,"perfect"
"Bianca topacio Torres",https://play-lh.googleusercontent.com/a-/ACB-R5TfmFjk1hnUwoNeWAfXu-CqW3kyA67sZNqvU6kn,5,2023-04-01T13:27:00.296Z,"this app is good for some globe,tnt,smart,sun cellular,dito users to check their internet connection speed!!!"
"Rakesh Kenchammana Hosakote",https://play-lh.googleusercontent.com/a-/ACB-R5R2mIM2txuU2vsd8_QdVXMDZKgr0SwzRDNTqZ72MA,4,2023-04-01T13:02:59.158Z,"Please kindly check the bug. In apps 2.4 ghz not able achive speed as same 2.4 ghz in laptop getting speed"
"Talha Mehran",https://play-lh.googleusercontent.com/a/AGNmyxYNHrM_ds2cOW73Dqovjh760QIdb60HLQTfJvnZ=mo,5,2023-04-01T06:05:28.806Z,"Best app for checking speed of internet"
"chad smith",https://play-lh.googleusercontent.com/a/AGNmyxZmb6IvO2fGFUeUgUVq40L7Z7n97c56hLP1gZc7=mo,5,2023-03-31T22:18:14.452Z,"great app only used once ads were not intrusive."
"ashan bavan",https://play-lh.googleusercontent.com/a/AGNmyxZInLSjwts1V2PPGqCLZ8nGna2J6Sx9mslUZze9=mo,1,2023-03-31T20:46:05.610Z,"Do not install this scam program"
"MALIK ABDUL REHMAN",https://play-lh.googleusercontent.com/a/AGNmyxY6w7krkxRRvAS0furZqjv1J9hxgm6UzRZT6Q7A=mo,1,2023-03-31T16:42:22.702Z,"Net chal nhi Raha hota aur yeh speed 5MB show kar Raha hota hai jab k dosri app per Sirf 0.28 show ho rahi hoti hai apki app theek Kam nhi karte ager 5MB ki speed a Rahi hoti tu 8MB ki file ak mint mein download na hoti"
"oppo a72",https://play-lh.googleusercontent.com/a/AGNmyxZQ9rAM4f2KoR1ek5UCU1ukRMYn1bpsZH9ADZFB=mo,5,2023-03-31T13:54:33.842Z,"good"
"Alvin B",https://play-lh.googleusercontent.com/a-/ACB-R5SuCVtn5Ns-VJHqQmjBVaRWaw1nUnEYxKL26gm7,5,2023-03-31T08:40:39.392Z,"Good ui no bugs"
"ANB Movie Channel",https://play-lh.googleusercontent.com/a-/ACB-R5TV72zchJbs2LFXQG0bfWrZkpbRn6VNxWL_T4HL,5,2023-03-31T04:37:23.143Z,"Excellent"
"Mukrang Bey ke-et",https://play-lh.googleusercontent.com/a-/ACB-R5T12XWs6Y2VqxhGXndxhFmC0idr6gzu1dBSvZipWA,5,2023-03-31T01:35:59.898Z,"New update"
"Ranjit Goala",https://play-lh.googleusercontent.com/a-/ACB-R5TDky5Vs9ceua7DylFRjVhX5eqnTsyi2Jb9pMf9yg,5,2023-03-30T16:13:23.145Z,"R7"
"Mesham Nuckchady",https://play-lh.googleusercontent.com/a-/ACB-R5QsrOi0VnIvG8NrHLrWXwY5zz_eApdbKh7yzpLE,2,2023-03-30T14:46:18.212Z,"Level up your speed test up to 500mbps or 1 gigabite"
"Muhammad Musa",https://play-lh.googleusercontent.com/a/AGNmyxZNR6hgfi0iZUmfUlqCMxT9SXrmqwfiKr7miz96=mo,5,2023-03-30T13:26:22.314Z,"Good"
"Arun Kushwaha",https://play-lh.googleusercontent.com/a-/ACB-R5SA90OInyUxUvYFhpwTESjLmkjzvK7CeUjHggnb8w,2,2023-03-30T05:03:25.520Z,"New features update now 😭😭😭"
"Sonu Roy",https://play-lh.googleusercontent.com/a/AGNmyxZHPmjFF4XZSpIj6efaB3_laU4UOb9DyhcYJ492=mo,1,2023-03-29T17:08:55.927Z,"Not open"
"Manju Nathan",https://play-lh.googleusercontent.com/a-/ACB-R5TwIJ9jhLVuv1tkpf1uBE4fG2vr0GVIY8prrPuFm5w,5,2023-03-29T15:53:22.872Z,"Superb"
"Mehdi Hasham",https://play-lh.googleusercontent.com/a-/ACB-R5TOimliDEpwlt1lxxy5dtr-YLTbB3W-NVHOFFZU3eg,5,2023-03-29T13:22:20.528Z,"Thank You! Thank You! Finally the big that was causing speed tests to crash on phones on US Mobile's T-Mobile plans. I can now use my favorite speed test app on my primary wireless carrier. Also the latest update just happened to be released on my birthday, thank you for the birthday present 🎉"
"Maxsrayll Yuntau",https://play-lh.googleusercontent.com/a-/ACB-R5SRIRirWoGhE7O7nUgsHv7pbIHQ_tgyQjcJuaW42A,5,2023-03-29T10:43:53.379Z,"A reliable speed test app. Maybe for your next app, do an app that can test solely router speed"
"Imam Oumar",https://play-lh.googleusercontent.com/a-/ACB-R5SqDEBw2jnppZCLsbLO9a0E5NR8jEmMEDoBiPkBWw,4,2023-03-29T03:45:42.150Z,"Itsi beautiful app"
"S T",https://play-lh.googleusercontent.com/a/AGNmyxYzTdNvpHe_GYbQFsV_nq8Js6-QozCZ85caG_Y6=mo,1,2023-03-29T01:35:17.201Z,"Everytime I go to test my data speed it cuts my data off. Only way to bring it back is to kill the app and turn off/on airplane mode. Oneplus 10t android 12 Verizon straight talk Sim card"
"Carlos Anckermann",https://play-lh.googleusercontent.com/a/AGNmyxZN4CUEnLHwv7qdDLTs7WSLhGbRjhcjVBSg6YPM=mo,4,2023-03-28T19:25:48.866Z,"Its very very good,but I need to update .need a helping hand"
"biswajit paul",https://play-lh.googleusercontent.com/a-/ACB-R5Q7buS14x0btrgx6W9YSdr1QEqEi_3qn_a4WAceLA,4,2023-03-28T17:53:41.202Z,"Very nice app 👍☺️"
"fn",https://play-lh.googleusercontent.com/a-/ACB-R5QGjEzKt72fXd8h1WwEGY32CoZ81UrUEUkKZ-YHZw,1,2023-03-28T16:00:05.438Z,"200mb app for what???"
"Mohim Islam",https://play-lh.googleusercontent.com/a/AGNmyxZwEgStrcvCy-4n-LATFLvCIUwph4IfZm8Orbew=mo,5,2023-03-28T11:27:52.981Z,"নেট ভালো না দিলে ডিলিট করমু"
