userName,userImage,score,date,text
"Gert van Dijk","https://play-lh.googleusercontent.com/a-/ACB-R5Tv-z9g0SjywNd_9YMHfASn80wpPbwSottP0l4XjA",1,"2023-01-02T21:27:50.255Z","There's no need for an app like this. Industry standards like RFC6238 HOTP exist for a reason and just using that would eliminate this app altogether. It thereby limits unnecessarily to Android and iOS with a poor user experience. Please just adhere to open standards and let me use my own 2FA app."
"Akhilesh Patel","https://play-lh.googleusercontent.com/a-/ACB-R5QuKklwnyiqzF96QkTehqlwytmRl0dEMkf29I2-0AQ",1,"2022-12-29T19:22:36.920Z","The app doent open at all keeps stopping"
"Sean Rogero","https://play-lh.googleusercontent.com/a-/ACB-R5ToBzB0ukMtUYvpa-AKwZFpBQXLknlL6rVJOWTk",1,"2022-12-29T08:23:42.301Z","Not compatible with my phone"
"Ranjit Sinha","https://play-lh.googleusercontent.com/a-/ACB-R5Rx3gwbK9gttsNc5pmvthaSIFC-iX-q0bFAde-Ofw",5,"2022-12-28T19:14:15.676Z","Gd"
"GT 177","https://play-lh.googleusercontent.com/a/AGNmyxbuNZ7ns1lH25SJQDolBREwcF7MDsta7jBERaPD=mo",1,"2022-12-28T10:50:59.609Z","Keeps trying to push me to enable location services even though it is NOT required by my company. I will change the rating when they fix this."
"JASON BAHLING","https://play-lh.googleusercontent.com/a-/ACB-R5TKxTiUWFWtePlOyOAkNYGidzH12dtE8iWezPDZf6g",1,"2022-12-27T13:27:59.112Z","No Samsung watch app."
"Peter Schipper","https://play-lh.googleusercontent.com/a/AGNmyxb1z_bvpNMIf8CX4o5Zo3gTVQS0ThGUFsTa9BiV=mo",1,"2022-12-22T14:58:08.385Z","Why companies choose this specific authenticator baffles me. Must be some bribes involved"
"Nagendra Upwanshi","https://play-lh.googleusercontent.com/a/AGNmyxb3dhjaIIpVvEDz-6uXqjfy7fbruqi8wdnAjywx=mo",1,"2022-12-22T09:54:24.454Z","Enable disable Swipe button is not functioning"
"FirstName LastName","https://play-lh.googleusercontent.com/a/AGNmyxYusWQj4dl1rAWy-Mc89-BBKlzXHweJDhgLo--F=mo",2,"2022-12-22T08:55:33.180Z","app attempts to gain root/superuser access.. a bit suss.. also want's to track your location. also.. i wish it would give me just 5 more seconds to confirm the MFA.. it takes my phone a while to wake/unlock.. probably due to pingID busily trying to gain root access."
"Santhosh Kumar","https://play-lh.googleusercontent.com/a-/ACB-R5TPnbBmnvoqvdgg_U6cl5Z06LAODlOHpjGIobouXw",2,"2022-12-20T17:07:28.652Z","Why it's unpaired in oppo phone. Till time working fine. Now only asking for paired key. Some members saying will not work on china phones(mi, oppo). Is it correct?"
"Athanasios Koukofikis","https://play-lh.googleusercontent.com/a/AGNmyxZvazwW9ZonESwF1-0anpzHkv1o9K-S91joN5bb=mo",1,"2022-12-17T17:38:22.330Z","Very bad app. Every now and then you don't get a notification so you got to generate a code. Not recommend."
"Mariza Gonzalez","https://play-lh.googleusercontent.com/a/AGNmyxY1-R579749h81QBT2NVqmF6lPVxf7mAEydUU0P=mo",1,"2022-12-16T03:45:00.925Z","Having a lot of issues trying to pairing it"
"John Nyalix","https://play-lh.googleusercontent.com/a-/ACB-R5SpaLqvzmyNXUSaAAlWTTZZjc0bUgtol2DHw6deSQ",5,"2022-12-15T10:27:03.850Z","Exceptional service above notch."
"Dr. Kenneth Brewer PhD","https://play-lh.googleusercontent.com/a-/ACB-R5QtBJ-9XUBG8NN3ZizZlbAZAYzhAPiZEgOPyvK8Cw",5,"2022-12-15T01:16:29.278Z","Good for two step logon"
"Carolyn Anten","https://play-lh.googleusercontent.com/a-/ACB-R5RNSdSdyh9TBm-z5uHcAe565JsLhiOsbUMGpD08fA",1,"2022-12-13T13:35:44.425Z","Horrible. It never works and becomes an exercise in ripping one's hair out. Total garbage."
"David Strömner","https://play-lh.googleusercontent.com/a/AGNmyxZla3fW82uguKQTxTt7onfsyOmJq7O2OzRYr32C=mo",1,"2022-12-13T05:54:55.394Z","There are days where this app straight up don't work. Nothing can send auth request to it. The one thing that it should handle perfectly. Really a joke of an app. Devs should feel embarrassed that they had any hand in this awful product."
"Shine Shoukkathali","https://play-lh.googleusercontent.com/a-/ACB-R5S4s91yqTLw1gj9jSpvVyalTXcYsqY1DkzZRnSJ7g",5,"2022-12-12T01:08:51.174Z","Great"
"James Giberson","https://play-lh.googleusercontent.com/a/AGNmyxYAe5GlNAgJOFoEJqbrh5dBc8Dq88291i9HlDAs=mo",1,"2022-12-01T06:19:30.416Z","In all true honesty it's an outright failure! I've gotten an new phone (from Samsung From an Samsung Android Galaxy '19 to '22 and am completely unable to link-up DESPITE my being told on this website that I'm good-2-go. IF there was ever an single word term...this SUCKS!"
"Matt T.","https://play-lh.googleusercontent.com/a/AGNmyxZILnA0xdIVBvmsb2v9xvq0z-OBuHcycxgKVWf3=mo",4,"2022-11-28T18:02:47.810Z","Can you please not require a fingerprint all the time? I get it, security, but I'm wearing gloves 90% of the time at work. Total PITA. I also get this is probably at least partially dictated by my employer, but they don't offer any way to provide feedback, so here I am. Maybe I'm just annoyed by the modern 2FA world."
"Lethia Page","https://play-lh.googleusercontent.com/a-/ACB-R5SqjrQg0SAisYl8R1afe9V01KkqL0h7CtMMyj_fpA",4,"2022-11-26T14:47:50.355Z","It's fine but I changed phones (from LG android 8 to Samsung android 12). The toggle switch used to just popup on my home screen now I have to dig it up as needed. I don't want a bunch of icons on my phone so I don't like that. Also is there a way around the error if I need two screens open at the same time? I work from home for a call center doing chats and calls and need to ping a dashboard for each using same software. I can open the first but when I ping the second the first often crashes."
"Laura Weaver-Perez","https://play-lh.googleusercontent.com/a-/ACB-R5SGMOct-IvNNVbGpsEp7ml3uB6KM1oLoS_WOQJBNZc",1,"2022-11-23T15:11:34.540Z","I do not understand how this app works."
"somesh mahajan","https://play-lh.googleusercontent.com/a-/ACB-R5TE4GKs37nsxKu2q7LvjuxZv4oMnTPRoB34pnBA8kE",1,"2022-11-22T17:54:30.357Z","Not more than a authenticator app why its taking 40MB in mobile. It could even works fine in 4MB"
"steve h","https://play-lh.googleusercontent.com/a/AGNmyxbxwLpmYnSSSQlZnSUNAHghyHnZgeO685D9_VIV=mo",1,"2022-11-20T22:26:46.933Z","Garbage and doesn't work"
"K","https://play-lh.googleusercontent.com/a-/ACB-R5RptaOydCyJ6DP6RxtaHuee16jZ6W8OfVrTUu104Q",3,"2022-11-18T11:09:59.266Z","So, when we use this app, is my job able to see everything I do on my phone while connected? All my personal info?"
"kiran Kumar","https://play-lh.googleusercontent.com/a-/ACB-R5Sq1sTw6Yor5QoCbMs64y51oIKTtacTeGMs4KJI7g",5,"2022-11-12T02:26:30.526Z","I'm not able to download pingid app in my mobile can you please help me on this"
"Drawig Pg","https://play-lh.googleusercontent.com/a/AGNmyxYB2wAGLM1msUeITKEX0YfHFoKvgJctWY43nUho=mo",1,"2022-11-11T09:45:33.970Z","Badly coded app with critical bugs. Fingerprint sensor does not work as it claims that another app is interfering with it (even if I deactivate all other apps). Choosing to use a code instead still asks for a fingerprint. Also the ""enter pairing code manually"" feature just crashes the app. Then it randomly unpaired itself one morning making me lose access to my company network. Do not use for your company unless you want to lose a lot of time."
"Jake Hatt","https://play-lh.googleusercontent.com/a/AGNmyxZTTTWJWHbh42viqXffU2aw1Jw1oMnaTUOx1pJZ=mo",1,"2022-11-08T10:41:50.110Z","Why would a 2FA app require your location to function? Being spied on by a third party should not be a necessity for my work"
"It's B-rye!","https://play-lh.googleusercontent.com/a-/ACB-R5TRLjarQsmj3u_GXwEDJ4xxCJqOMn-0LmsOuPuv",3,"2022-11-05T21:37:26.192Z","Having a hard time transferring my PingID onto another device. I no long have my old device and followed the steps required to transfer but still asking authorization from my old device which I don't have. Need help"
"Bob K","https://play-lh.googleusercontent.com/a/AGNmyxbQJjF4qMZ0PqfnlrBuLNkbYMe78zTeg_FYMCw_=mo",2,"2022-11-05T11:28:02.981Z","Push notifications so unreliable hit or miss mostly."
"Stefan Schokker","https://play-lh.googleusercontent.com/a/AGNmyxbiI1PAHO2N4AqBq2sLk7RZfgpQt8Wzxylm7Fpp=mo",1,"2022-11-04T13:55:26.680Z","device is not rooted, app doesn't work in work profile"
"ashok balu","https://play-lh.googleusercontent.com/a-/ACB-R5Thi1zIQfANBBp2IqgOKKue-j203u2tQjAQzR_Ppg",1,"2022-11-04T11:53:01.160Z","Not working properly"
"Eappen Mathew","https://play-lh.googleusercontent.com/a-/ACB-R5T3WuW0PA8zBAlF0AbrNpYWQHFho4zT9JDv3uDmW0U",1,"2022-11-03T17:02:12.593Z","Add some device identifier for swipe authentication option. Currently not able to identify, the authentication request came from the correct device or not. This will leads to secure issue for the end user."
"Pam Schmitt","https://play-lh.googleusercontent.com/a/AGNmyxb1UKY9CUgLMYiOUWCHgAH1jEUreQfPvvF8IDuA=mo",4,"2022-11-02T23:25:51.201Z","Easy to use"
"Kyle Kapish","https://play-lh.googleusercontent.com/a/AGNmyxaZHg9V9pFZ_OKDqoacsFClaSpLb8LYeXDDx1mU=mo",1,"2022-11-01T15:56:39.710Z","Absolutely terrible to set up, will not accept my device regardless of it having the correct software and permissions set."
"Gaurav Jadhav","https://play-lh.googleusercontent.com/a/AGNmyxadMMU37Qt65516pNahm2Wp7IKYCNG9xVaFuTMC=mo",1,"2022-10-29T14:00:44.231Z","Personal data and security risk is being highlighted after installing this app. The app can be used for data mining."
"venkatesh shanam","https://play-lh.googleusercontent.com/a-/ACB-R5RS_mP6yG6ehvBF3rF3OhA1COn5tvvygWtVwW9O",1,"2022-10-28T12:28:31.967Z","Not fit for Samsung J7. Finger scan/face scan is required to use this app"
"Steve Gazzo","https://play-lh.googleusercontent.com/a-/ACB-R5TXjFD8tnapTjxcJdwq-HYzdE_cSMbGBPtMQGupfQ",1,"2022-10-27T01:46:28.702Z","Slow, unreliable, no way to transfer an account from a broken phone. Has one job and barely does it"
"Classic Rock","https://play-lh.googleusercontent.com/a/AGNmyxZ_eIm7Z7u3CKZ1NWjpeEf0NgfzuMkLrrbGVnGy=mo",3,"2022-10-23T18:49:45.257Z","Change device? My phone pingid does not have the ""change device"" option....So what's the alternative solution??"
"Christopher Smith","https://play-lh.googleusercontent.com/a/AGNmyxZ_wuUJNsOxCbtiUbEYBBbzEhvrJJts9ZVFPBHU=mo",1,"2022-10-23T00:21:29.917Z","Had to factory reset phone and now I can't access my account. The app will not give me a one time password!"
"Hardik Dave","https://play-lh.googleusercontent.com/a-/ACB-R5QP8Aasm73h7-r7AJLVDlxA4YPMblihaV-pUnURrA",1,"2022-10-21T07:27:54.518Z","Not getting notification in red mi note 5 pro."
"Core Bear","https://play-lh.googleusercontent.com/a-/ACB-R5RVRP00vRcpD1cdw8fkoztPIhUYf88Mkp9ziEo",1,"2022-10-17T23:00:12.190Z","Not installing"
"stephanie thomas","https://play-lh.googleusercontent.com/a-/ACB-R5QFPlXzEBPbM1ncx9z6ZZTEraLOYAqDnTQ7nLdeBA",1,"2022-10-16T22:47:33.965Z","""Routine maintenance"" that is supposed to be a 5 minute process regularly messes up the app for DAYS! I clocked in Friday (10/14) at 4pm, & haven't been able to access it since (10/16 6:46pm currently). Worst app ever for work! If I could give it negative stars I would"
"Jaco Mocke","https://play-lh.googleusercontent.com/a/AGNmyxZrC8wwmTud_YQ6np19cdw9t5ZPA7RglqLVFhHR=mo",1,"2022-10-16T11:13:11.702Z","My PingID disconnected itself on all my devices. I can not log in to any of my devices as i need to re-pair the app. My old pairing details come up as failure to authenticate."
"Michelle Masters","https://play-lh.googleusercontent.com/a/AGNmyxanHeeDupkuBlzZh9p46hO7yzatKrrN2YTBzivIdVU=mo",1,"2022-10-14T18:28:40.734Z","This is ridiculous trying and trying to sign in. They ask for your fingerprint then say it's inadequate. BS!!!"
"Gayathri Gowda","https://play-lh.googleusercontent.com/a-/ACB-R5SYZ4Nn6j41Of8yuTQ_VeD1Rbn3_drzCkBK_4E59yg",2,"2022-10-14T06:17:19.771Z","My phone got restored, now trying to re connect bt it doesn't give an option to connect there is no settings button please do help me out"
"Cindy Weeks","https://play-lh.googleusercontent.com/a-/ACB-R5StAsVzqdRKSKIhgtNXpzdoLkFCkdloQKYYHFIMcw",1,"2022-10-12T11:33:31.120Z","Complete pain in the as to use!!"
"David Elissaint","https://play-lh.googleusercontent.com/a-/ACB-R5SHeuNNqC3wvmnJMkxfqrgRlOx3h38bHdyZKzwM",5,"2022-10-09T13:43:42.541Z","exellent"
